Year,Genre,Total Genre Gross
2000,Comedy,1600585720.0
2001,Adventure,2012123744.5
2002,Adventure,2900425281.4166665
2003,Comedy,2018148711.5
2004,Adventure,2749105227.0
2005,Adventure,2172846512.0
2006,Adventure,2594192071.5
2007,Adventure,2784300202.0
2008,Adventure,2596510500.8333335
2009,Adventure,2671019155.3333335
2010,Adventure,3018325797.8333335
2011,Action,2265980097.1666665
2012,Adventure,2518879262.6666665
2013,Adventure,2877315590.5
2014,Adventure,2757884882.1666665
2015,Adventure,3393422061.5
2016,Adventure,3890999274.3333335
2017,Action,3230402548.6666665
2018,Action,3986607611.0
2019,Adventure,3984277604.6666665
2020,Adventure,414977335.5
2021,Action,2503270496.3333335
2022,Action,3915002118.6666665
